PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20120101;13;11;19644;ReprEvadiu;0;25;116;0;7;0;0.246996538;0.520057015;0.232946447;0;4852;10216;4576;0;21;0;59;9217;1;1616;32;224
20120101;15;15;28822;Sucesso;1;22;856;0;547;0.142599403;0.010512803;0.152626466;0.694261328;4110;303;4399;20010;0;28;0;22;5894;1;5934;37;179
20120101;2;3;2272;ReprEvadiu;0;0;0;0;0;0.132042254;0.236795775;0;0.631161972;300;538;0;1434;0;0;0;3;469;0;1294;8;12
20120101;9;8;21784;Sucesso;5;40;0;0;38;0.015883217;0.125275432;0.562155711;0.296685641;346;2729;12246;6463;0;15;0;44;10362;1;3567;35;179
20120101;15;13;22594;Sucesso;0;28;304;0;839;0;0.345534213;0.247809153;0.406656635;0;7807;5599;9188;0;20;0;44;8114;1;3229;32;187
20120101;2;6;14252;ReprEvadiu;0;1;0;0;23;0.253578445;0.201445411;0.336444008;0.208532136;3614;2871;4795;2972;0;3;0;28;6710;1;5666;23;71
20120101;8;10;28099;Sucesso;0;9;344;4;2297;0.095163529;0.123491939;0.010676537;0.770667995;2674;3470;300;21655;0;13;0;57;6507;1;3508;47;181
20120101;10;10;25636;ReprEvadiu;0;9;393;0;0;0;0;0.243680761;0.756319239;0;0;6247;19389;0;13;0;31;10248;1;6287;37;140
20120101;0;2;600;ReprEvadiu;0;0;300;0;0;0;0.5;0.5;0;0;300;300;0;0;0;0;0;0;0;0;0;0
20120101;15;8;15176;Sucesso;0;13;1994;0;104;0;0.019768055;0;0.980231945;0;300;0;14876;0;11;0;36;5208;1;1850;32;158
20120101;4;6;23468;ReprEvadiu;2;7;30;37;4829;0;0.0410346;0.219106869;0.739858531;0;963;5142;17363;0;2;0;23;5267;1;8986;71;71
20120101;8;6;13081;ReprEvadiu;1;15;737;16;857;0;0;0.083326963;0.916673037;0;0;1090;11991;0;10;0;33;5194;1;1014;45;119
20120101;21;14;30483;Sucesso;1;12;0;3;2768;0;0.062461044;0.099071614;0.838467342;0;1904;3020;25559;0;26;0;41;10986;1;5211;43;211
20120101;24;14;31160;ReprEvadiu;0;5;463;7;3436;0.009627728;0.070539153;0.087772786;0.832060334;300;2198;2735;25927;0;14;0;70;9312;1;5866;68;229
20120101;13;10;24426;Sucesso;2;10;0;0;300;0.207606649;0.04491116;0.15917465;0.588307541;5071;1097;3888;14370;0;35;0;18;5707;1;4756;35;122
20120101;14;11;25782;Sucesso;0;13;716;13;4190;0.110309518;0.028779769;0.085951439;0.774959274;2844;742;2216;19980;0;18;0;37;5975;1;4645;50;164
20120101;4;7;8663;Sucesso;0;4;133;0;0;0.141521413;0;0.505252222;0.353226365;1226;0;4377;3060;0;3;0;34;5516;0;2134;9;57
20120101;1;6;11319;ReprEvadiu;0;8;314;0;75;0.039756162;0.051329623;0.344465059;0.564449156;450;581;3899;6389;0;6;0;28;4335;2;2700;27;96
20120101;4;12;36645;Sucesso;5;59;0;11;4802;0.034029199;0.067594488;0.15101651;0.747359804;1247;2477;5534;27387;0;9;0;40;7455;0;4875;34;246
20120101;9;10;31668;Sucesso;26;67;730;111;5837;0.067007705;0.031167109;0.089585702;0.812239485;2122;987;2837;25722;0;2;0;48;7778;2;3190;167;286
20120101;0;4;5597;ReprEvadiu;0;0;0;0;0;0;0;0.652135072;0.347864928;0;0;3650;1947;0;0;0;15;1885;1;2751;13;31
20120101;5;3;2654;ReprEvadiu;0;2;55;0;110;0;0.177467973;0.822532027;0;0;471;2183;0;0;1;0;6;1598;0;15;0;20
20120101;0;8;13134;ReprEvadiu;0;2;0;0;0;0.173290696;0;0.459494442;0.367214862;2276;0;6035;4823;0;3;0;20;1965;0;7138;14;66
20120101;3;8;13602;ReprEvadiu;0;7;0;0;300;0;0;0.282752536;0.717247464;0;0;3846;9756;0;4;0;36;4035;1;3203;24;89
20120101;8;5;16361;ReprEvadiu;1;7;63;0;100;0;0.021881303;0;0.978118697;0;358;0;16003;0;0;0;31;6305;0;1795;10;109
20120101;0;4;7823;ReprEvadiu;0;7;0;0;0;0;0;0.250926754;0.749073246;0;0;1963;5860;0;0;0;25;3225;0;362;2;52
20120101;19;15;28680;Sucesso;0;33;1089;3;425;0;0.112656904;0.246059972;0.641283124;0;3231;7057;18392;0;17;0;37;7163;1;5923;30;237
20120101;4;6;16489;Sucesso;3;7;0;5;1255;0;0;0.125720177;0.874279823;0;0;2073;14416;0;14;0;24;5200;1;2781;40;92
20120101;5;6;18454;ReprEvadiu;1;5;0;24;2744;0;0;0;1;0;0;0;18454;0;12;0;20;8578;0;1641;43;81
20120101;17;6;21491;ReprEvadiu;0;2;0;4;1484;0;0.031222372;0.266344051;0.702433577;0;671;5724;15096;0;20;0;24;3333;1;1637;32;97
20120101;9;4;17882;Sucesso;0;6;0;2;245;0;0;0;1;0;0;0;17882;0;13;0;31;8024;1;3268;39;99
20120101;27;15;22292;ReprEvadiu;1;3;130;10;1867;0;0.2897452;0.234792751;0.475462049;0;6459;5234;10599;0;6;0;32;8311;1;1979;44;115
20120101;6;3;1758;ReprEvadiu;0;4;0;0;0;0;0;1;0;0;0;1758;0;0;1;0;6;536;0;7;0;32
20120101;0;1;415;ReprEvadiu;0;3;0;0;0;0;0;0;1;0;0;0;415;0;0;0;8;176;0;75;0;19
20120101;35;17;34850;Sucesso;6;43;4402;10;2293;0.215121951;0.2723099;0.204017217;0.308550933;7497;9490;7110;10753;0;22;0;21;3368;1;6193;49;268
20120101;53;20;68927;Sucesso;12;129;22080;29;7195;0.004541036;0.045366837;0.158355942;0.791736185;313;3127;10915;54572;0;37;0;38;8342;1;4618;110;506
20120101;8;8;23008;ReprEvadiu;4;15;70;7;2297;0;0.141689847;0.252607789;0.605702364;0;3260;5812;13936;0;1;0;24;3510;1;4073;32;174
20120101;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120101;6;11;8237;ReprEvadiu;0;2;0;0;320;0.55639189;0.043341022;0.178220226;0.222046862;4583;357;1468;1829;0;1;0;13;2009;0;2796;14;49
20120101;24;14;48169;Sucesso;6;58;125;21;4300;0;0.034711121;0.216342461;0.748946418;0;1672;10421;36076;0;32;0;48;13911;0;6176;93;374
