CodigoDisciplina;PeriodoLetivo;CodigoTurma;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
60465;20120102;4434;44;19;48530;Sucesso;0;30;945;3;2284;0.007500515;0.205295693;0.161755615;0.625448176;364;9963;7850;30353;0;34;0;94;15097;0;0;9;413
60465;20120102;4603;9;13;18399;Sucesso;1;23;1349;0;257;0;0.093537692;0.390727757;0.515734551;0;1721;7189;9489;0;6;0;38;7343;0;0;5;159
60465;20120102;4603;6;9;6413;ReprEvadiu;0;4;32;0;308;0;0.288008732;0.374707625;0.337283643;0;1847;2403;2163;0;3;0;24;2962;0;0;2;86
60465;20120102;4603;0;1;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
60465;20120102;4603;11;9;23393;Sucesso;2;14;272;50;3020;0;0.236310007;0.438165263;0.32552473;0;5528;10250;7615;0;6;0;47;7753;0;0;54;144
60465;20120102;4603;4;4;6083;ReprEvadiu;0;3;41;0;0;0;0;0.049317771;0.950682229;0;0;300;5783;0;2;0;16;3047;0;0;0;55
60465;20120102;4603;8;6;7383;ReprEvadiu;1;4;0;0;0;0;0.049031559;0.588514154;0.362454287;0;362;4345;2676;0;5;0;23;4029;0;0;3;50
60465;20120102;4603;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60465;20120102;4603;8;9;10307;ReprEvadiu;0;4;908;0;491;0;0.340642282;0.508683419;0.150674299;0;3511;5243;1553;0;6;0;25;3721;0;0;2;95
60465;20120102;4603;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60465;20120101;4448;18;13;20876;Sucesso;2;17;1313;0;31;0.01690937;0.07803219;0.396436099;0.508622341;353;1629;8276;10618;0;11;0;30;6570;0;0;6;139
60465;20120101;4448;36;16;41779;Sucesso;8;40;1662;5;633;0.026640178;0.16221068;0.142416046;0.668733096;1113;6777;5950;27939;0;9;0;71;10870;0;0;18;373
60465;20120101;4448;12;12;15420;Sucesso;0;15;616;10;1049;0;0.262127108;0;0.737872892;0;4042;0;11378;0;8;0;45;5029;0;0;12;139
60465;20120101;4448;9;13;17319;ReprEvadiu;2;9;0;0;0;0.15953577;0;0.242277268;0.598186962;2763;0;4196;10360;0;24;0;25;4644;0;0;14;108
60465;20120101;4448;2;6;3309;ReprEvadiu;1;7;0;0;0;0;0.479298882;0.430039287;0.090661831;0;1586;1423;300;0;0;0;10;467;0;0;1;37
60465;20120101;4448;2;6;17209;Sucesso;0;17;339;0;719;0;0;0.044860248;0.955139752;0;0;772;16437;0;7;0;37;9594;0;0;2;126
60465;20120102;4433;2;7;13659;Sucesso;2;11;622;39;3557;0;0;0.173658394;0.826341606;0;0;2372;11287;0;6;0;18;3016;0;0;41;97
60465;20120102;4433;12;11;12918;Sucesso;1;10;1022;0;0;0.245239201;0.024539402;0.050859266;0.67936213;3168;317;657;8776;0;14;0;56;5685;0;0;3;136
60465;20120102;4433;29;14;22686;Sucesso;0;6;530;0;714;0;0.122498457;0.208983514;0.668518029;0;2779;4741;15166;0;14;0;30;5202;0;0;2;188
60465;20120102;4433;19;8;13656;ReprEvadiu;0;14;1220;0;990;0.557630346;0;0;0.442369654;7615;0;0;6041;0;8;0;20;2455;0;0;0;117
60465;20120102;4433;0;1;315;ReprEvadiu;0;0;0;0;0;0;0;0;1;0;0;0;315;0;0;0;3;196;0;0;0;4
60465;20120102;4433;0;5;1996;ReprEvadiu;0;0;0;0;0;0;0.150300601;0.150300601;0.699398798;0;300;300;1396;0;0;0;5;1070;0;0;0;11
60465;20120102;4433;43;17;27708;Sucesso;10;41;3346;1;1578;0.191749675;0.114732207;0.237368269;0.456149848;5313;3179;6577;12639;0;12;0;55;7720;0;0;13;335
60465;20120102;4434;17;8;21146;ReprEvadiu;1;5;300;11;2146;0.11486806;0;0.20850279;0.67662915;2429;0;4409;14308;0;17;0;33;6268;0;0;15;141
60465;20120102;4434;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60465;20120102;4434;4;3;2867;ReprEvadiu;1;2;11;0;0;0;0;0;1;0;0;0;2867;0;2;0;8;1098;0;0;1;27
60465;20120102;4435;4;6;8384;Sucesso;0;5;2511;0;876;0;0;0.146230916;0.853769084;0;0;1226;7158;0;5;0;20;2138;0;0;2;78
60465;20120102;4435;53;14;46463;ReprEvadiu;2;89;5637;7;3050;0.074726126;0.141596539;0.18548092;0.598196414;3472;6579;8618;27794;0;17;0;108;17121;0;0;11;502
60465;20120102;4435;7;9;22105;ReprEvadiu;2;12;52;65;7992;0;0;0;1;0;0;0;22105;0;10;0;32;7953;0;0;69;110
60465;20120102;4435;1;6;8011;ReprEvadiu;0;3;0;41;5089;0;0;0;1;0;0;0;8011;0;5;0;6;662;0;0;43;31
60465;20120102;4435;9;11;22416;ReprEvadiu;2;24;651;7;3538;0;0.027703426;0.214623483;0.757673091;0;621;4811;16984;0;8;0;23;4658;0;0;11;228
60465;20120102;4435;8;7;16536;Sucesso;1;6;20;28;4144;0;0.028362361;0.112421384;0.859216255;0;469;1859;14208;0;9;0;36;3861;0;0;31;108
60465;20120102;4435;2;3;11337;Sucesso;0;2;1334;68;6929;0;0;0;1;0;0;0;11337;0;5;0;6;1058;0;0;70;29
60465;20120102;4433;5;10;18732;ReprEvadiu;0;8;330;12;2805;0;0;0.019325219;0.980674781;0;0;362;18370;0;10;0;23;4969;0;0;14;102
60465;20120102;4433;12;8;13022;Sucesso;0;1;0;0;0;0;0.218092459;0.463830441;0.3180771;0;2840;6040;4142;0;9;0;30;4628;0;0;4;81
60465;20120102;4433;2;13;11788;Sucesso;1;14;0;4;1065;0;0.35977265;0.305480149;0.334747201;0;4241;3601;3946;0;10;0;13;2094;0;0;9;84
60465;20120102;4434;1;6;3986;ReprEvadiu;1;7;0;0;617;0;0.128700452;0.397390868;0.47390868;0;513;1584;1889;0;1;0;12;808;0;0;1;38
60465;20120102;4434;16;11;18327;ReprEvadiu;0;13;1083;28;1777;0.041578;0.182463033;0.14350412;0.632454848;762;3344;2630;11591;0;13;0;38;5169;0;0;32;196
60465;20120102;4434;6;6;6937;Sucesso;0;0;0;0;0;0;0.04324636;0.121522272;0.835231368;0;300;843;5794;0;6;0;14;2643;0;0;2;39
60465;20120102;4434;10;11;16524;Sucesso;5;19;488;1;778;0;0;0;1;0;0;0;16524;0;15;0;68;9852;0;0;7;168
60465;20120102;4434;12;10;10087;ReprEvadiu;0;2;0;9;2401;0;0.06949539;0.290076336;0.640428274;0;701;2926;6460;0;5;0;12;2786;0;0;13;66
60465;20120102;4434;7;12;22620;ReprEvadiu;0;8;86;24;2405;0;0.094606543;0.217506631;0.687886826;0;2140;4920;15560;0;6;0;85;11259;0;0;26;176
60465;20120102;4435;14;8;20283;ReprEvadiu;2;27;5639;0;898;0;0.227431839;0.563476803;0.209091357;0;4613;11429;4241;0;12;0;28;6325;0;0;4;163
60465;20120102;4435;9;13;19043;Sucesso;4;31;1238;0;0;0;0.239353043;0.684556005;0.076090952;0;4558;13036;1449;0;12;0;26;4122;0;0;8;160
60465;20120102;4435;19;13;31767;Sucesso;4;59;1051;41;9020;0;0.050020461;0.138980703;0.810998835;0;1589;4415;25763;0;9;0;32;3905;0;0;48;275
60465;20120102;4435;31;11;29376;Sucesso;1;42;1302;89;14601;0;0.062193627;0.053444989;0.884361383;0;1827;1570;25979;0;9;0;14;1763;0;0;90;225
60465;20120102;4435;7;5;11483;ReprEvadiu;0;5;107;10;5969;0;0.08664983;0.056082905;0.857267265;0;995;644;9844;0;12;0;11;285;0;0;13;49
60465;20120102;4435;18;16;28479;Sucesso;0;20;680;105;12095;0;0.079637628;0.169352856;0.751009516;0;2268;4823;21388;0;21;0;15;1884;0;0;113;176
60465;20120101;4114;9;13;21013;ReprEvadiu;0;22;68;0;4043;0;0.490125161;0.255365726;0.254509113;0;10299;5366;5348;0;17;0;106;4938;0;0;2;346
60465;20120101;4114;6;5;4877;ReprEvadiu;0;4;180;0;358;0;0.069509945;0.287881895;0.642608161;0;339;1404;3134;0;2;0;16;2908;0;0;0;71
