CodigoPessoa;CodigoDisciplina;PeriodoLetivo;NumeroModulos;CodigoTurma;NumeroModulo;NumeroUltimoModulo;Login_Quantidade;Numero_Dias_Acessados_Modulo;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal;Turno_TempoUsoTotal_Somado;QuantidadeMatriculasValidas;QuantidadeMatriculasAprovadas;MatriculasPercentualAproveitamento;StatusMatricula;Evadido;Forum_Quantidade_Post;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso;Assignment_View_TempoUso_Somado;Resource_View_Quantidade;Resource_View_Quantidade_Somado;Resource_View_Tempo;Resource_View_Tempo_Somado;Questionario_Quantidade;Questionario_Quantidade_Somado;Questionario_TempoUso;Questionario_TempoUso_Somado;Log_Post_Quantidade;Log_Post_Quantidade_Somado;Log_View_Quantidade;Log_View_Quantidade_Somado;Disciplina_Reprovado
31602;97597;20120101;9;4112;6;11;7;3;22;2262;31828;0;0;0;Aprovado;Sucesso;0;2;5;36;916;0;11;55;3822;0;0.019102677;0;0.050364459;0.6688771;0.236175694;0.3311229;0.69435717;0;608;0;1603;1513;7517;749;22100;0;0;5;16;0;0;0;6;0;852;0;0;0;0;0;16;29;239;0
31772;60500;20120101;9;4198;6;10;14;3;12;17969;35555;0;0;0;Aprovado;Sucesso;0;0;1;2;634;0;0;0;0;0;0;0.018086705;0.042750668;0.462630085;0.445872592;0.51928321;0.51137674;0;0;325;1520;8313;15853;9331;18182;0;0;17;55;0;0;17;48;6956;13130;0;2;5576;9266;50;81;61;168;0
28039;60463;20120102;9;4605;6;6;1;1;4;0;3399;5;3;60;Reprovado;ReprEvadiu;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0.457193292;0;0.542806708;0;0;0;0;0;1554;0;1845;0;0;0;1;0;0;0;9;0;1052;0;0;0;0;0;0;1;32;0
37507;50404;20120201;9;4912;6;9;0;0;7;0;14604;0;0;0;Reprovado;ReprEvadiu;0;4;0;14;0;0;0;0;82;0;0.020542317;0;0;0;0.056902219;0;0.922555464;0;300;0;0;0;831;0;13473;0;0;0;2;0;0;0;16;0;3456;0;1;0;1945;0;11;0;99;0
31347;60463;20120102;9;4605;6;11;11;4;23;2771;28693;2;2;100;Reprovado;ReprEvadiu;0;1;1;24;13;0;13;145;3534;0;0;0.363767593;0.073327989;0.205701913;0.508625797;0.430530494;0.418046213;0;0;1008;2104;570;14594;1193;11995;0;0;6;38;0;0;4;35;704;8963;0;1;72;638;6;37;29;237;0
31364;60463;20120102;9;4605;6;9;9;3;22;4314;41501;1;1;100;Aprovado;Sucesso;0;8;3;84;32;4;23;1001;5187;0;0;0.410755679;0.201657791;0.219517849;0.375460832;0.369726472;0.422881376;0;0;1772;8369;947;15582;1595;17550;0;0;0;27;0;0;17;54;2582;10278;0;1;19;1414;4;47;34;432;0
31408;60463;20120102;9;4605;6;9;3;1;10;527;14504;2;2;100;Aprovado;Sucesso;0;5;0;26;0;0;0;0;247;0;0.113279095;0;0.022476558;0;0.265995587;1;0.598248759;0;1643;0;326;0;3858;527;8677;0;0;0;25;0;0;1;33;143;4590;0;0;32;66;0;12;6;190;0
31666;60463;20120102;9;4605;6;9;1;1;9;300;9122;2;1;50;Reprovado;ReprEvadiu;0;1;0;5;0;0;2;0;740;0;0;0;0;0;0.107103705;1;0.892896295;0;0;0;0;0;977;300;8145;0;0;0;13;0;0;0;10;0;3202;0;0;0;1397;0;10;1;62;0
31756;60463;20120102;9;4605;6;9;1;1;3;300;1004;3;2;66.67;Reprovado;ReprEvadiu;0;0;0;1;0;0;0;0;0;0;0;1;0.701195219;0;0;0;0.298804781;0;0;300;704;0;0;0;300;0;0;0;2;0;0;0;1;0;300;0;0;0;0;0;0;1;7;0
31794;60463;20120102;9;4605;6;9;2;2;8;3779;22691;1;1;100;Reprovado;ReprEvadiu;0;2;3;9;58;3;17;1199;4867;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3779;22691;0;0;1;18;0;0;5;36;1984;11089;0;0;179;185;3;26;14;96;0
34838;60463;20120102;9;4605;6;9;11;4;25;3494;33654;0;0;0;Aprovado;Sucesso;0;7;4;52;79;0;4;0;1950;0;0;0.618775043;0.152344446;0.123640527;0.359006359;0.25758443;0.488649195;0;0;2162;5127;432;12082;900;16445;0;0;3;20;0;0;8;60;1077;9730;0;0;602;4617;11;53;30;284;0
35030;60463;20120102;9;4605;6;10;1;1;11;361;11791;0;0;0;Reprovado;ReprEvadiu;0;0;1;15;11;0;0;0;434;0;0;0;0.165465185;0;0.028920363;1;0.805614452;0;0;0;1951;0;341;361;9499;0;0;1;23;0;0;1;35;300;5576;0;0;0;614;0;0;4;160;0
33260;60463;20120102;9;4604;6;9;17;5;27;7980;37661;4;4;100;Aprovado;Sucesso;0;2;2;18;34;0;0;0;47;0;0.080189055;0;0.169777754;0.588972431;0.351796288;0.411027569;0.398236903;0;3020;0;6394;4700;13249;3280;14998;0;0;9;33;0;0;17;92;4558;15239;0;2;16;4047;3;47;48;263;0
33590;60463;20120102;9;4604;6;8;0;0;3;0;1052;4;4;100;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;300;0;0;0;0.285171103;0;0;0;0.714828897;0;0;0;300;0;0;0;752;0;0;0;0;0;0;0;1;0;300;0;0;0;0;0;0;0;6;0
34942;60463;20120102;9;4604;6;9;2;1;10;857;9380;3;3;100;Desistente;ReprEvadiu;0;0;0;1;0;0;0;0;381;0;0.117803838;0;0.1;0;0;1;0.782196162;0;1105;0;938;0;0;857;7337;0;0;0;9;0;0;16;35;537;3548;0;0;0;334;0;6;20;67;0
45880;60463;20120102;9;4604;6;0;0;0;0;0;0;2;2;100;Desistente;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19904;60463;20120102;9;4605;6;9;6;3;16;3225;24209;3;3;100;Reprovado;ReprEvadiu;0;4;3;17;677;0;0;0;23;0;0;0;0;0.130232558;0.03131067;0.869767442;0.96868933;0;0;0;0;420;758;2805;23451;0;0;4;24;0;0;7;44;1177;8495;0;1;23;3040;0;39;28;177;0
21331;60463;20120102;9;4605;6;1;0;0;2;0;1040;11;3;27.27;Reprovado;ReprEvadiu;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1040;0;0;0;0;0;0;0;0;0;11;0;761;0;0;0;0;0;0;0;18;0
21367;60463;20120102;9;4605;6;9;9;3;12;6464;21069;10;10;100;Reprovado;ReprEvadiu;0;1;1;12;171;0;0;33;1120;0;0;0;0;0;0;1;1;0;0;0;0;0;0;6464;21069;0;0;4;19;0;0;24;38;4951;7668;0;1;363;1729;1;23;51;193;0
21393;60463;20120102;9;4605;6;10;3;2;27;653;38539;6;1;16.67;Aprovado;Sucesso;0;5;0;47;0;0;24;0;3771;0;0.021173357;0;0.053582086;0;0.158436908;1;0.766807649;0;816;0;2065;0;6106;653;29552;0;0;0;15;0;0;0;19;0;3679;0;0;0;50;0;31;3;257;0
28126;60463;20120102;9;4605;6;12;2;2;8;659;7037;6;4;66.67;Reprovado;ReprEvadiu;0;0;0;4;0;0;0;0;0;0;0.042631803;0.544764795;0.25010658;0;0;0.455235205;0.707261617;0;300;359;1760;0;0;300;4977;0;0;0;11;0;0;2;9;315;2505;0;1;0;443;0;8;4;54;0
28169;60463;20120102;9;4605;6;9;18;5;30;6554;38263;7;6;85.71;Aprovado;Sucesso;0;7;10;97;1340;0;1;0;334;0;0;0.071101617;0.082377231;0.048672566;0.215926613;0.880225816;0.701696156;0;0;466;3152;319;8262;5769;26849;0;0;5;27;0;0;16;58;2833;13862;1;2;1009;2844;15;45;60;393;0
28187;60463;20120102;9;4605;6;0;0;0;0;0;0;7;5;71.43;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31095;60463;20120102;9;4605;6;8;2;2;21;666;27759;3;2;66.67;Reprovado;ReprEvadiu;0;2;1;24;6;0;1;0;2174;0;0;0;0.02028171;0.45045045;0.299686588;0.54954955;0.680031701;0;0;0;563;300;8319;366;18877;0;0;0;12;0;0;2;36;305;5591;0;1;18;956;0;9;6;184;0
31147;60463;20120102;9;4605;6;10;14;4;27;7856;52649;2;2;100;Aprovado;Sucesso;1;7;6;38;1280;0;0;0;2326;0.038187373;0.140287565;0.038187373;0.117172216;0.333121181;0.076506676;0.590504073;0.666033543;300;7386;300;6169;2617;4028;4639;35066;0;0;1;19;0;0;9;71;1610;16660;1;2;1790;6613;16;55;35;291;0
31161;60463;20120102;9;4605;6;11;20;4;21;6956;54301;2;2;100;Aprovado;Sucesso;0;3;1;43;1180;0;12;316;2849;0.055491662;0.068525442;0;0.019925968;0.614146061;0.181396291;0.330362277;0.730152299;386;3721;0;1082;4272;9850;2298;39648;0;0;8;50;0;0;8;58;2218;10472;0;1;250;7510;1;38;64;491;0
31344;60463;20120102;9;4605;6;9;10;4;24;5388;37990;1;1;100;Aprovado;Sucesso;0;9;7;69;767;0;10;736;3995;0.352821084;0.050039484;0;0.192866544;0.445434298;0.263437747;0.201744618;0.493656225;1901;1901;0;7327;2400;10008;1087;18754;0;0;2;37;0;0;17;57;1540;5301;0;1;142;4635;1;41;58;492;0
31413;60463;20120102;9;4605;6;9;25;4;10;7643;19897;3;3;100;Aprovado;Sucesso;0;1;1;11;30;0;0;0;0;0.086484365;0.033221089;0.255397095;0.098105242;0.301321471;0.25581746;0.356797069;0.612856209;661;661;1952;1952;2303;5090;2727;12194;0;0;13;28;0;0;19;42;4424;9265;0;0;51;125;3;5;71;173;0
31838;60463;20120102;9;4605;6;10;3;2;13;1410;15061;4;4;100;Reprovado;ReprEvadiu;0;1;0;8;0;0;0;0;330;0;0;0;0.051059027;0;0.353628577;1;0.595312396;0;0;0;769;0;5326;1410;8966;0;0;2;17;0;0;2;15;9;3079;0;1;191;1870;0;12;8;91;0
31419;60463;20120102;9;4605;6;9;0;0;4;0;3018;1;0;0;Reprovado;ReprEvadiu;0;0;0;2;0;0;1;0;352;0;0;0;0;0;0.423127899;0;0.576872101;0;0;0;0;0;1277;0;1741;0;0;0;3;0;0;0;5;0;428;0;0;0;0;0;1;0;32;0
31459;60463;20120102;9;4605;6;3;0;0;8;0;7325;3;3;100;Reprovado;ReprEvadiu;0;1;0;8;0;0;0;0;6;0;0;0;0.098976109;0;0.386075085;0;0.514948805;0;0;0;725;0;2828;0;3772;0;0;0;4;0;0;0;19;0;1717;0;0;0;0;0;1;0;57;0
