PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20120102;3;12;19409;ReprEvadiu;0;5;29;0;16;0;0;0.180431758;0.819568242;0;0;3502;15907;0;5;0;53;10265;0;0;2;129
20120102;2;22;23637;Sucesso;1;23;0;0;257;0;0.174895291;0.316833778;0.508270931;0;4134;7489;12014;0;10;0;53;9167;0;0;7;198
20120102;6;16;14619;ReprEvadiu;0;7;300;0;308;0;0.259593679;0.293248512;0.447157808;0;3795;4287;6537;0;6;0;53;8511;0;0;4;141
20120102;0;1;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20120102;16;20;42878;Sucesso;4;30;2229;78;6994;0;0.239749988;0.373384953;0.386865059;0;10280;16010;16588;0;12;0;88;12593;0;0;86;256
20120102;6;11;14608;ReprEvadiu;1;4;0;0;29;0;0.118975904;0.398411829;0.482612267;0;1738;5820;7050;0;7;0;41;7495;0;0;5;90
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;5;18;15336;ReprEvadiu;0;8;0;0;1036;0;0.32909494;0.500521648;0.170383412;0;5047;7676;2613;0;10;0;46;5757;0;0;4;163
20120102;0;15;16381;ReprEvadiu;4;36;0;2;621;0;0.117270008;0.78401807;0.098711922;0;1921;12843;1617;0;6;0;45;4837;0;0;10;177
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120101;8;20;29659;ReprEvadiu;0;10;0;17;1757;0;0.081155804;0.193229711;0.725614485;0;2407;5731;21521;0;25;0;75;10340;0;0;23;226
