PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20120102;1;4;3399;ReprEvadiu;0;4;0;0;8;0;0;0.457193292;0.542806708;0;0;1554;1845;0;1;0;9;1052;0;0;0;32
20120102;11;23;28693;ReprEvadiu;1;24;13;13;3534;0;0.073327989;0.508625797;0.418046213;0;2104;14594;11995;0;38;0;35;8963;1;638;37;237
20120102;9;22;41501;Sucesso;8;84;32;23;5187;0;0.201657791;0.375460832;0.422881376;0;8369;15582;17550;0;27;0;54;10278;1;1414;47;432
20120102;3;10;14504;Sucesso;5;26;0;0;247;0.113279095;0.022476558;0.265995587;0.598248759;1643;326;3858;8677;0;25;0;33;4590;0;66;12;190
20120102;1;9;9122;ReprEvadiu;1;5;0;2;740;0;0;0.107103705;0.892896295;0;0;977;8145;0;13;0;10;3202;0;1397;10;62
20120102;1;3;1004;ReprEvadiu;0;1;0;0;0;0;0.701195219;0;0.298804781;0;704;0;300;0;2;0;1;300;0;0;0;7
20120102;2;8;22691;ReprEvadiu;2;9;58;17;4867;0;0;0;1;0;0;0;22691;0;18;0;36;11089;0;185;26;96
20120102;11;25;33654;Sucesso;7;52;79;4;1950;0;0.152344446;0.359006359;0.488649195;0;5127;12082;16445;0;20;0;60;9730;0;4617;53;284
20120102;1;11;11791;ReprEvadiu;0;15;11;0;434;0;0.165465185;0.028920363;0.805614452;0;1951;341;9499;0;23;0;35;5576;0;614;0;160
20120102;17;27;37661;Sucesso;2;18;34;0;47;0.080189055;0.169777754;0.351796288;0.398236903;3020;6394;13249;14998;0;33;0;92;15239;2;4047;47;263
20120102;0;3;1052;ReprEvadiu;0;0;0;0;300;0;0.285171103;0;0.714828897;0;300;0;752;0;0;0;1;300;0;0;0;6
20120102;2;10;9380;ReprEvadiu;0;1;0;0;381;0.117803838;0.1;0;0.782196162;1105;938;0;7337;0;9;0;35;3548;0;334;6;67
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;6;16;24209;ReprEvadiu;4;17;677;0;23;0;0;0.03131067;0.96868933;0;0;758;23451;0;24;0;44;8495;1;3040;39;177
20120102;0;2;1040;ReprEvadiu;0;2;0;0;0;0;0;1;0;0;0;1040;0;0;0;0;11;761;0;0;0;18
20120102;9;12;21069;ReprEvadiu;1;12;171;0;1120;0;0;0;1;0;0;0;21069;0;19;0;38;7668;1;1729;23;193
20120102;3;27;38539;Sucesso;5;47;0;24;3771;0.021173357;0.053582086;0.158436908;0.766807649;816;2065;6106;29552;0;15;0;19;3679;0;50;31;257
20120102;2;8;7037;ReprEvadiu;0;4;0;0;0;0.042631803;0.25010658;0;0.707261617;300;1760;0;4977;0;11;0;9;2505;1;443;8;54
20120102;18;30;38263;Sucesso;7;97;1340;1;334;0;0.082377231;0.215926613;0.701696156;0;3152;8262;26849;0;27;0;58;13862;2;2844;45;393
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;2;21;27759;ReprEvadiu;2;24;6;1;2174;0;0.02028171;0.299686588;0.680031701;0;563;8319;18877;0;12;0;36;5591;1;956;9;184
20120102;14;27;52649;Sucesso;7;38;1280;0;2326;0.140287565;0.117172216;0.076506676;0.666033543;7386;6169;4028;35066;0;19;0;71;16660;2;6613;55;291
20120102;20;21;54301;Sucesso;3;43;1180;12;2849;0.068525442;0.019925968;0.181396291;0.730152299;3721;1082;9850;39648;0;50;0;58;10472;1;7510;38;491
20120102;10;24;37990;Sucesso;9;69;767;10;3995;0.050039484;0.192866544;0.263437747;0.493656225;1901;7327;10008;18754;0;37;0;57;5301;1;4635;41;492
20120102;25;10;19897;Sucesso;1;11;30;0;0;0.033221089;0.098105242;0.25581746;0.612856209;661;1952;5090;12194;0;28;0;42;9265;0;125;5;173
20120102;3;13;15061;ReprEvadiu;1;8;0;0;330;0;0.051059027;0.353628577;0.595312396;0;769;5326;8966;0;17;0;15;3079;1;1870;12;91
20120102;0;4;3018;ReprEvadiu;0;2;0;1;352;0;0;0.423127899;0.576872101;0;0;1277;1741;0;3;0;5;428;0;0;1;32
20120102;0;8;7325;ReprEvadiu;1;8;0;0;6;0;0.098976109;0.386075085;0.514948805;0;725;2828;3772;0;4;0;19;1717;0;0;1;57
20120102;11;19;20329;ReprEvadiu;2;15;391;12;2079;0;0.136996409;0.287815436;0.575188155;0;2785;5851;11693;0;21;0;21;3604;1;2438;35;137
20120102;7;20;22146;Sucesso;2;12;72;0;966;0.129729974;0.037749481;0.116635058;0.715885487;2873;836;2583;15854;0;37;0;41;7195;1;3556;22;166
20120102;3;8;9351;ReprEvadiu;0;4;0;0;0;0;0;0;1;0;0;0;9351;0;7;0;22;6848;0;356;1;55
20120102;0;5;5850;ReprEvadiu;0;2;0;0;16;0;0;0;1;0;0;0;5850;0;3;0;7;1990;0;300;0;27
20120102;21;25;32224;ReprEvadiu;4;59;994;0;94;0;0.481597567;0.373107001;0.145295432;0;15519;12023;4682;0;67;0;64;7551;1;7041;53;384
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;4;20;19030;ReprEvadiu;4;26;86;0;1025;0;0.493641618;0.325223332;0.18113505;0;9394;6189;3447;0;16;0;28;5805;1;772;11;225
20120102;41;24;62225;Sucesso;3;71;1423;0;635;0.005689032;0.169337083;0.230566493;0.594407393;354;10537;14347;36987;0;46;0;73;14910;2;7612;78;502
20120102;5;19;34296;Sucesso;1;30;341;0;2686;0;0.031082342;0.214369023;0.754548635;0;1066;7352;25878;0;22;0;54;11185;1;3979;28;352
20120102;19;31;41921;ReprEvadiu;4;88;1323;0;1130;0.007514134;0.042914053;0.589179647;0.360392166;315;1799;24699;15108;0;30;0;77;12095;1;2879;37;516
20120102;9;20;17194;Sucesso;1;7;305;0;901;0;0.06234733;0.496335931;0.441316738;0;1072;8534;7588;0;13;0;21;3709;1;1558;12;101
20120102;9;25;33140;Sucesso;1;15;62;15;4840;0;0.157030779;0.246047073;0.596922148;0;5204;8154;19782;0;19;0;50;8906;1;1828;35;194
20120102;12;30;32027;Sucesso;2;16;49;0;433;0;0.308083804;0.359196928;0.332719268;0;9867;11504;10656;0;25;0;10;1686;1;2123;19;264
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;12;26;43884;Sucesso;3;67;675;8;3813;0;0.137088688;0.262282381;0.600628931;0;6016;11510;26358;0;48;0;82;14419;1;3518;31;516
20120102;0;4;2330;ReprEvadiu;0;1;0;0;0;0;0;0;1;0;0;0;2330;0;1;0;2;300;0;0;0;15
20120102;0;3;3165;ReprEvadiu;0;5;0;0;0;0;0;0;1;0;0;0;3165;0;0;0;9;2430;0;0;0;26
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;3;14;27614;ReprEvadiu;2;14;10;35;4728;0;0.047656986;0.38820888;0.564134135;0;1316;10720;15578;0;24;0;30;5283;1;2057;71;197
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;0;2;772;ReprEvadiu;0;0;0;0;0;0;0.527202073;0;0.472797927;0;407;0;365;0;2;0;4;110;0;0;0;12
20120102;1;9;6594;ReprEvadiu;0;1;0;0;300;0;0.342887473;0.435092508;0.222020018;0;2261;2869;1464;0;20;0;11;1738;1;1144;15;59
20120102;7;14;16726;Sucesso;1;14;0;0;39;0;0;0.885328231;0.114671769;0;0;14808;1918;0;21;0;27;3348;1;4218;60;122
