CodigoDisciplina;PeriodoLetivo;CodigoTurma;NumeroModulo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
60500;20120101;4198;6;14;12;35555;Sucesso;0;2;634;0;0;0;0.042750668;0.445872592;0.51137674;0;1520;15853;18182;0;55;0;48;13130;2;9266;81;168
60465;20120102;4434;3;44;19;48530;Sucesso;0;30;945;3;2284;0.007500515;0.205295693;0.161755615;0.625448176;364;9963;7850;30353;0;34;0;94;15097;0;0;9;413
60463;20120102;4604;3;14;11;12638;ReprEvadiu;4;19;1454;0;1011;0;0.445798386;0.281452762;0.272748853;0;5634;3557;3447;0;10;0;18;3702;0;10;4;156
60463;20120102;4604;3;0;3;3165;ReprEvadiu;0;5;0;0;0;0;0;0;1;0;0;0;3165;0;0;0;9;2430;0;0;0;26
60463;20120102;4605;6;1;4;3399;ReprEvadiu;0;4;0;0;8;0;0;0.457193292;0.542806708;0;0;1554;1845;0;1;0;9;1052;0;0;0;32
50404;20120201;4912;3;5;5;12793;ReprEvadiu;4;13;2069;0;82;0.023450324;0;0.064957399;0.911592277;300;0;831;11662;0;0;0;15;3441;1;1467;11;89
50404;20120201;4912;6;0;7;14604;ReprEvadiu;4;14;0;0;82;0.020542317;0;0.056902219;0.922555464;300;0;831;13473;0;2;0;16;3456;1;1945;11;99
60463;20120102;4605;3;6;11;13896;ReprEvadiu;1;12;308;8;2147;0;0;0.48675878;0.51324122;0;0;6764;7132;0;18;0;12;3637;0;0;11;109
60463;20120102;4605;6;11;23;28693;ReprEvadiu;1;24;13;13;3534;0;0.073327989;0.508625797;0.418046213;0;2104;14594;11995;0;38;0;35;8963;1;638;37;237
60463;20120102;4605;3;6;8;21896;Sucesso;5;49;1418;13;3286;0;0.13847278;0.306265985;0.555261235;0;3032;6706;12158;0;13;0;22;4034;0;0;18;257
